run_accession,experiment,biosample,bioproject,collection_date,site_or_sample,strategy,platform,gbases
SRR35987630,SRX31036840,SAMN53135048,PRJNA1247874,2025-09-21,"Influent wastewater from Chicago (CHI-B), IL",RNA-Seq,Illumina NovaSeq X,274.99
SRR35987637,SRX31036963,SAMN53135038,PRJNA1247874,2025-09-21,"Influent wastewater from Chicago (CHI-A), IL",RNA-Seq,Illumina NovaSeq X,358.21
SRR35987664,SRX31036937,SAMN53135048,PRJNA1247874,2025-09-21,"Influent wastewater from Chicago (CHI-B), IL",RNA-Seq,Illumina NovaSeq X,0.0
SRR37428182,SRX32338936,SAMN56287658,PRJNA1247874,2025-09-21,"Influent wastewater from Chicago (CHI-D2), IL",RNA-Seq,Illumina NovaSeq X,400.68
SRR37428214,SRX32338904,SAMN56287632,PRJNA1247874,2025-09-21,"Influent wastewater from Chicago (CHI-D1), IL",RNA-Seq,Illumina NovaSeq X,0.0
SRR37428215,SRX32338903,SAMN56287632,PRJNA1247874,2025-09-21,"Influent wastewater from Chicago (CHI-D1), IL",RNA-Seq,Illumina NovaSeq X,239.75
SRR35987626,SRX31036846,SAMN53135059,PRJNA1247874,2025-09-22,"Wastewater (airport sewer manhole) from Chicago (CHI-C), IL",RNA-Seq,Illumina NovaSeq X,406.33
SRR35987607,SRX31036965,SAMN53135039,PRJNA1247874,2025-09-28,"Influent wastewater from Chicago (CHI-A), IL",RNA-Seq,Illumina NovaSeq X,255.16
SRR35987629,SRX31036841,SAMN53135049,PRJNA1247874,2025-09-28,"Influent wastewater from Chicago (CHI-B), IL",RNA-Seq,Illumina NovaSeq X,263.28
SRR37428189,SRX32338929,SAMN56287659,PRJNA1247874,2025-09-28,"Influent wastewater from Chicago (CHI-D2), IL",RNA-Seq,Illumina NovaSeq X,327.68
SRR37428217,SRX32338901,SAMN56287633,PRJNA1247874,2025-09-28,"Influent wastewater from Chicago (CHI-D1), IL",RNA-Seq,Illumina NovaSeq X,279.22
SRR35987627,SRX31036844,SAMN53135060,PRJNA1247874,2025-09-29,"Wastewater (airport sewer manhole) from Chicago (CHI-C), IL",RNA-Seq,Illumina NovaSeq X,261.34
SRR35987628,SRX31036842,SAMN53135050,PRJNA1247874,2025-10-05,"Influent wastewater from Chicago (CHI-B), IL",RNA-Seq,Illumina NovaSeq X,265.66
SRR35987663,SRX31036938,SAMN53135040,PRJNA1247874,2025-10-05,"Influent wastewater from Chicago (CHI-A), IL",RNA-Seq,Illumina NovaSeq X,168.55
SRR37428188,SRX32338930,SAMN56287660,PRJNA1247874,2025-10-05,"Influent wastewater from Chicago (CHI-D2), IL",RNA-Seq,Illumina NovaSeq X,189.28
SRR37428216,SRX32338902,SAMN56287634,PRJNA1247874,2025-10-05,"Influent wastewater from Chicago (CHI-D1), IL",RNA-Seq,Illumina NovaSeq X,281.11
SRR35987618,SRX31036858,SAMN53135061,PRJNA1247874,2025-10-06,"Wastewater (airport sewer manhole) from Chicago (CHI-C), IL",RNA-Seq,Illumina NovaSeq X,350.69
SRR35987593,SRX31036885,SAMN53135051,PRJNA1247874,2025-10-12,"Influent wastewater from Chicago (CHI-B), IL",RNA-Seq,Illumina NovaSeq X,384.61
SRR35987617,SRX31036860,SAMN53135075,PRJNA1247874,2025-10-12,"Influent wastewater from Chicago (CHI-D2), IL",RNA-Seq,Illumina NovaSeq X,404.48
SRR35987620,SRX31036857,SAMN53135074,PRJNA1247874,2025-10-12,"Influent wastewater from Chicago (CHI-D1), IL",RNA-Seq,Illumina NovaSeq X,413.96
SRR35987662,SRX31036939,SAMN53135041,PRJNA1247874,2025-10-12,"Influent wastewater from Chicago (CHI-A), IL",RNA-Seq,Illumina NovaSeq X,385.35
SRR35987621,SRX31036855,SAMN53135062,PRJNA1247874,2025-10-13,"Wastewater (airport sewer manhole) from Chicago (CHI-C), IL",RNA-Seq,Illumina NovaSeq X,388.65
SRR35987590,SRX31036887,SAMN53135077,PRJNA1247874,2025-10-19,"Influent wastewater from Chicago (CHI-D2), IL",RNA-Seq,Illumina NovaSeq X,370.14
SRR35987594,SRX31036884,SAMN53135052,PRJNA1247874,2025-10-19,"Influent wastewater from Chicago (CHI-B), IL",RNA-Seq,Illumina NovaSeq X,420.32
SRR35987616,SRX31036861,SAMN53135076,PRJNA1247874,2025-10-19,"Influent wastewater from Chicago (CHI-D1), IL",RNA-Seq,Illumina NovaSeq X,377.21
SRR35987661,SRX31036940,SAMN53135042,PRJNA1247874,2025-10-19,"Influent wastewater from Chicago (CHI-A), IL",RNA-Seq,Illumina NovaSeq X,421.47
SRR35987622,SRX31036854,SAMN53135063,PRJNA1247874,2025-10-20,"Wastewater (airport sewer manhole) from Chicago (CHI-C), IL",RNA-Seq,Illumina NovaSeq X,385.7
SRR36832675,SRX31810961,SAMN54610784,PRJNA1247874,2025-10-26,"Influent wastewater from Chicago (CHI-B), IL",RNA-Seq,Illumina NovaSeq X,235.07
SRR36832679,SRX31810957,SAMN54610802,PRJNA1247874,2025-10-26,"Influent wastewater from Chicago (CHI-D2), IL",RNA-Seq,Illumina NovaSeq X,446.52
SRR36832689,SRX31810947,SAMN54610796,PRJNA1247874,2025-10-26,"Influent wastewater from Chicago (CHI-D1), IL",RNA-Seq,Illumina NovaSeq X,402.1
SRR36832699,SRX31810937,SAMN54610778,PRJNA1247874,2025-10-26,"Influent wastewater from Chicago (CHI-A), IL",RNA-Seq,Illumina NovaSeq X,448.36
SRR36832695,SRX31810941,SAMN54610790,PRJNA1247874,2025-10-27,"Wastewater (airport sewer manhole) from Chicago (CHI-C), IL",RNA-Seq,Illumina NovaSeq X,487.92
SRR36832676,SRX31810960,SAMN54610785,PRJNA1247874,2025-11-02,"Influent wastewater from Chicago (CHI-B), IL",RNA-Seq,Illumina NovaSeq X,234.53
SRR36832682,SRX31810954,SAMN54610803,PRJNA1247874,2025-11-02,"Influent wastewater from Chicago (CHI-D2), IL",RNA-Seq,Illumina NovaSeq X,308.24
SRR36832688,SRX31810948,SAMN54610797,PRJNA1247874,2025-11-02,"Influent wastewater from Chicago (CHI-D1), IL",RNA-Seq,Illumina NovaSeq X,340.15
SRR36832698,SRX31810938,SAMN54610779,PRJNA1247874,2025-11-02,"Influent wastewater from Chicago (CHI-A), IL",RNA-Seq,Illumina NovaSeq X,282.36
SRR36832694,SRX31810942,SAMN54610791,PRJNA1247874,2025-11-03,"Wastewater (airport sewer manhole) from Chicago (CHI-C), IL",RNA-Seq,Illumina NovaSeq X,455.09
SRR36832677,SRX31810959,SAMN54610786,PRJNA1247874,2025-11-09,"Influent wastewater from Chicago (CHI-B), IL",RNA-Seq,Illumina NovaSeq X,334.79
SRR36832683,SRX31810953,SAMN54610804,PRJNA1247874,2025-11-09,"Influent wastewater from Chicago (CHI-D2), IL",RNA-Seq,Illumina NovaSeq X,354.29
SRR36832686,SRX31810950,SAMN54610780,PRJNA1247874,2025-11-09,"Influent wastewater from Chicago (CHI-A), IL",RNA-Seq,Illumina NovaSeq X,345.19
SRR36832687,SRX31810949,SAMN54610798,PRJNA1247874,2025-11-09,"Influent wastewater from Chicago (CHI-D1), IL",RNA-Seq,Illumina NovaSeq X,335.62
SRR36832693,SRX31810943,SAMN54610792,PRJNA1247874,2025-11-10,"Wastewater (airport sewer manhole) from Chicago (CHI-C), IL",RNA-Seq,Illumina NovaSeq X,383.65
SRR36832672,SRX31810964,SAMN54610781,PRJNA1247874,2025-11-16,"Influent wastewater from Chicago (CHI-A), IL",RNA-Seq,Illumina NovaSeq X,406.56
SRR36832678,SRX31810958,SAMN54610787,PRJNA1247874,2025-11-16,"Influent wastewater from Chicago (CHI-B), IL",RNA-Seq,Illumina NovaSeq X,372.84
SRR36832684,SRX31810952,SAMN54610805,PRJNA1247874,2025-11-16,"Influent wastewater from Chicago (CHI-D2), IL",RNA-Seq,Illumina NovaSeq X,373.84
SRR36832685,SRX31810951,SAMN54610799,PRJNA1247874,2025-11-16,"Influent wastewater from Chicago (CHI-D1), IL",RNA-Seq,Illumina NovaSeq X,441.72
SRR36832691,SRX31810945,SAMN54610793,PRJNA1247874,2025-11-17,"Wastewater (airport sewer manhole) from Chicago (CHI-C), IL",RNA-Seq,Illumina NovaSeq X,268.78
SRR36832670,SRX31810966,SAMN54610806,PRJNA1247874,2025-11-23,"Influent wastewater from Chicago (CHI-D2), IL",RNA-Seq,Illumina NovaSeq X,176.48
SRR36832673,SRX31810963,SAMN54610782,PRJNA1247874,2025-11-23,"Influent wastewater from Chicago (CHI-A), IL",RNA-Seq,Illumina NovaSeq X,206.63
SRR36832681,SRX31810955,SAMN54610800,PRJNA1247874,2025-11-23,"Influent wastewater from Chicago (CHI-D1), IL",RNA-Seq,Illumina NovaSeq X,235.25
SRR36832696,SRX31810940,SAMN54610788,PRJNA1247874,2025-11-23,"Influent wastewater from Chicago (CHI-B), IL",RNA-Seq,Illumina NovaSeq X,165.66
SRR36832692,SRX31810944,SAMN54610794,PRJNA1247874,2025-11-24,"Wastewater (airport sewer manhole) from Chicago (CHI-C), IL",RNA-Seq,Illumina NovaSeq X,206.83
SRR36832671,SRX31810965,SAMN54610807,PRJNA1247874,2025-11-30,"Influent wastewater from Chicago (CHI-D2), IL",RNA-Seq,Illumina NovaSeq X,200.08
SRR36832674,SRX31810962,SAMN54610783,PRJNA1247874,2025-11-30,"Influent wastewater from Chicago (CHI-A), IL",RNA-Seq,Illumina NovaSeq X,225.98
SRR36832680,SRX31810956,SAMN54610801,PRJNA1247874,2025-11-30,"Influent wastewater from Chicago (CHI-D1), IL",RNA-Seq,Illumina NovaSeq X,213.47
SRR36832697,SRX31810939,SAMN54610789,PRJNA1247874,2025-11-30,"Influent wastewater from Chicago (CHI-B), IL",RNA-Seq,Illumina NovaSeq X,208.39
SRR36832690,SRX31810946,SAMN54610795,PRJNA1247874,2025-12-01,"Wastewater (airport sewer manhole) from Chicago (CHI-C), IL",RNA-Seq,Illumina NovaSeq X,236.5
SRR37089574,SRX32035966,SAMN55038714,PRJNA1247874,2025-12-07,"Influent wastewater from Chicago (CHI-B), IL",RNA-Seq,Illumina NovaSeq X,330.53
SRR37089580,SRX32035960,SAMN55038729,PRJNA1247874,2025-12-07,"Influent wastewater from Chicago (CHI-D2), IL",RNA-Seq,Illumina NovaSeq X,340.4
SRR37089587,SRX32035953,SAMN55038724,PRJNA1247874,2025-12-07,"Influent wastewater from Chicago (CHI-D1), IL",RNA-Seq,Illumina NovaSeq X,292.33
SRR37089594,SRX32035946,SAMN55038709,PRJNA1247874,2025-12-07,"Influent wastewater from Chicago (CHI-A), IL",RNA-Seq,Illumina NovaSeq X,296.18
SRR37089592,SRX32035948,SAMN55038719,PRJNA1247874,2025-12-08,"Wastewater (airport sewer manhole) from Chicago (CHI-C), IL",RNA-Seq,Illumina NovaSeq X,368.81
SRR37089575,SRX32035965,SAMN55038715,PRJNA1247874,2025-12-14,"Influent wastewater from Chicago (CHI-B), IL",RNA-Seq,Illumina NovaSeq X,255.68
SRR37089581,SRX32035959,SAMN55038730,PRJNA1247874,2025-12-14,"Influent wastewater from Chicago (CHI-D2), IL",RNA-Seq,Illumina NovaSeq X,249.16
SRR37089586,SRX32035954,SAMN55038725,PRJNA1247874,2025-12-14,"Influent wastewater from Chicago (CHI-D1), IL",RNA-Seq,Illumina NovaSeq X,294.62
SRR37089593,SRX32035947,SAMN55038710,PRJNA1247874,2025-12-14,"Influent wastewater from Chicago (CHI-A), IL",RNA-Seq,Illumina NovaSeq X,284.87
SRR37089591,SRX32035949,SAMN55038720,PRJNA1247874,2025-12-15,"Wastewater (airport sewer manhole) from Chicago (CHI-C), IL",RNA-Seq,Illumina NovaSeq X,342.85
SRR37089576,SRX32035964,SAMN55038716,PRJNA1247874,2025-12-21,"Influent wastewater from Chicago (CHI-B), IL",RNA-Seq,Illumina NovaSeq X,316.28
SRR37089578,SRX32035962,SAMN55038711,PRJNA1247874,2025-12-21,"Influent wastewater from Chicago (CHI-A), IL",RNA-Seq,Illumina NovaSeq X,287.82
SRR37089582,SRX32035958,SAMN55038731,PRJNA1247874,2025-12-21,"Influent wastewater from Chicago (CHI-D2), IL",RNA-Seq,Illumina NovaSeq X,213.91
SRR37089585,SRX32035955,SAMN55038726,PRJNA1247874,2025-12-21,"Influent wastewater from Chicago (CHI-D1), IL",RNA-Seq,Illumina NovaSeq X,351.78
